                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4867,                 2.7023,                 1.8506,                0.28169,                0.18419,                0.15237,                0.05288,                 2.7102,                 2.8126,                   1.88,               0.006733,               0.006733,               0.006733
                     36,                 2.4751,                 2.6898,                 1.8518,                0.27618,                0.19436,                0.15249,                0.05232,                 2.6981,                 2.7821,                 1.8756,               0.006634,               0.006634,               0.006634
                     37,                 2.4784,                 2.6784,                 1.8499,                0.33089,                0.18191,                0.14984,                0.05207,                 2.6844,                  2.776,                 1.8767,               0.006535,               0.006535,               0.006535
                     38,                 2.4731,                 2.6664,                 1.8406,                0.28023,                0.19543,                0.15391,                0.05323,                 2.6876,                 2.7586,                  1.872,               0.006436,               0.006436,               0.006436
                     39,                 2.4646,                 2.6524,                 1.8435,                0.28923,                 0.1864,                0.15979,                0.05503,                 2.6755,                 2.7443,                 1.8632,               0.006337,               0.006337,               0.006337
                     40,                 2.4648,                 2.6465,                 1.8339,                0.21479,                0.19986,                0.16288,                0.05695,                 2.6681,                 2.7302,                 1.8503,               0.006238,               0.006238,               0.006238
                     41,                 2.4642,                 2.6375,                 1.8276,                0.27426,                0.20006,                0.16745,                0.05771,                 2.6449,                 2.7233,                  1.839,               0.006139,               0.006139,               0.006139
                     42,                  2.457,                 2.6317,                 1.8334,                0.22153,                0.20734,                0.16871,                0.05967,                 2.6322,                 2.6934,                  1.843,                0.00604,                0.00604,                0.00604
                     43,                 2.4631,                 2.6268,                 1.8281,                0.29318,                0.19896,                0.17428,                0.06161,                 2.6395,                 2.6961,                 1.8434,               0.005941,               0.005941,               0.005941
                     44,                 2.4575,                 2.6152,                 1.8259,                0.29349,                 0.1967,                0.16769,                0.05962,                 2.6134,                 2.6671,                 1.8326,               0.005842,               0.005842,               0.005842
                     45,                  2.446,                 2.6002,                 1.8206,                0.21317,                0.20507,                0.17199,                0.06032,                 2.6164,                 2.6869,                 1.8315,               0.005743,               0.005743,               0.005743
                     46,                 2.4428,                 2.5944,                 1.8204,                0.23614,                0.21322,                0.17235,                0.06061,                 2.6189,                 2.6978,                 1.8297,               0.005644,               0.005644,               0.005644
                     47,                 2.4341,                 2.5775,                 1.8044,                0.23796,                0.20528,                0.17312,                0.06188,                   2.62,                 2.6979,                 1.8298,               0.005545,               0.005545,               0.005545
                     48,                 2.4279,                 2.5853,                 1.8072,                0.23848,                0.20393,                0.17441,                0.06305,                 2.6061,                 2.6715,                 1.8205,               0.005446,               0.005446,               0.005446
                     49,                 2.4318,                  2.565,                 1.8036,                0.30912,                 0.2088,                0.18142,                 0.0647,                 2.6008,                 2.6369,                 1.8197,               0.005347,               0.005347,               0.005347
                     50,                 2.4279,                 2.5715,                 1.8069,                0.36093,                0.21354,                0.18376,                0.06386,                 2.5895,                 2.6112,                 1.8125,               0.005248,               0.005248,               0.005248
                     51,                 2.4382,                 2.5713,                 1.7981,                0.27352,                0.21868,                0.17925,                0.06303,                 2.5817,                 2.6238,                 1.8046,               0.005149,               0.005149,               0.005149
                     52,                 2.4169,                  2.553,                 1.7973,                0.29341,                0.21488,                0.17916,                0.06325,                 2.5769,                 2.6358,                 1.8055,                0.00505,                0.00505,                0.00505
                     53,                 2.4257,                 2.5401,                  1.801,                0.24013,                0.21858,                0.18323,                0.06662,                 2.5687,                 2.6191,                 1.7959,               0.004951,               0.004951,               0.004951
                     54,                 2.4269,                 2.5324,                 1.7865,                0.29756,                0.21489,                0.18833,                0.06865,                 2.5685,                 2.6173,                 1.7929,               0.004852,               0.004852,               0.004852
                     55,                 2.4086,                 2.5239,                 1.7814,                0.28966,                0.22509,                0.18837,                0.06845,                 2.5677,                   2.61,                 1.7886,               0.004753,               0.004753,               0.004753
                     56,                 2.4089,                 2.5252,                 1.7882,                0.28724,                0.21807,                0.18678,                0.06825,                 2.5598,                 2.5913,                 1.7869,               0.004654,               0.004654,               0.004654
                     57,                 2.4131,                 2.5262,                 1.7845,                0.29737,                 0.2211,                0.19148,                0.06937,                 2.5541,                 2.5881,                 1.7864,               0.004555,               0.004555,               0.004555
                     58,                 2.4118,                 2.5091,                   1.78,                0.29942,                0.22196,                0.19046,                 0.0686,                 2.5535,                 2.5894,                 1.7879,               0.004456,               0.004456,               0.004456
                     59,                 2.4082,                 2.5057,                 1.7782,                0.29664,                0.22354,                0.19029,                 0.0687,                 2.5499,                   2.58,                 1.7872,               0.004357,               0.004357,               0.004357
                     60,                 2.4005,                 2.4895,                 1.7731,                0.23576,                0.23405,                0.19531,                0.06965,                 2.5404,                 2.5619,                 1.7828,               0.004258,               0.004258,               0.004258
                     61,                 2.4004,                 2.4933,                 1.7752,                0.22393,                0.23194,                 0.1961,                0.07054,                 2.5436,                 2.5544,                 1.7823,               0.004159,               0.004159,               0.004159
                     62,                 2.3853,                 2.4883,                 1.7663,                0.22013,                0.23756,                 0.1989,                0.07155,                 2.5378,                 2.5417,                 1.7787,                0.00406,                0.00406,                0.00406
                     63,                 2.3917,                 2.4797,                 1.7709,                0.23206,                0.23345,                0.20153,                0.07254,                   2.53,                 2.5329,                 1.7758,               0.003961,               0.003961,               0.003961
                     64,                 2.3883,                 2.4675,                 1.7593,                0.24588,                0.23751,                0.20281,                0.07259,                 2.5281,                 2.5318,                 1.7725,               0.003862,               0.003862,               0.003862
                     65,                  2.384,                 2.4644,                 1.7583,                0.23944,                0.23768,                0.20298,                0.07335,                 2.5265,                 2.5299,                 1.7708,               0.003763,               0.003763,               0.003763
                     66,                 2.3761,                 2.4564,                 1.7581,                 0.2419,                0.23962,                 0.2054,                 0.0738,                 2.5252,                 2.5225,                 1.7677,               0.003664,               0.003664,               0.003664
                     67,                 2.3798,                 2.4617,                 1.7608,                0.24538,                 0.2381,                 0.2059,                0.07425,                 2.5221,                 2.5239,                 1.7644,               0.003565,               0.003565,               0.003565
                     68,                 2.3695,                 2.4422,                 1.7477,                 0.2453,                0.23824,                0.20447,                0.07382,                 2.5168,                 2.5204,                 1.7627,               0.003466,               0.003466,               0.003466
                     69,                 2.3781,                 2.4513,                 1.7454,                 0.2449,                0.23891,                0.20566,                0.07477,                 2.5154,                 2.5168,                 1.7613,               0.003367,               0.003367,               0.003367
                     70,                 2.3719,                 2.4289,                 1.7423,                0.24633,                0.23497,                0.20661,                 0.0752,                 2.5137,                 2.5175,                 1.7595,               0.003268,               0.003268,               0.003268
                     71,                 2.3735,                 2.4404,                 1.7429,                0.24572,                0.23389,                 0.2071,                0.07532,                 2.5106,                 2.5139,                 1.7572,               0.003169,               0.003169,               0.003169
                     72,                 2.3644,                 2.4209,                 1.7393,                0.24857,                0.24229,                0.20601,                0.07511,                 2.5073,                  2.514,                 1.7551,                0.00307,                0.00307,                0.00307
                     73,                 2.3546,                 2.4053,                 1.7283,                0.25695,                0.24575,                0.20636,                0.07526,                 2.5028,                  2.507,                 1.7527,               0.002971,               0.002971,               0.002971
                     74,                 2.3659,                 2.4085,                 1.7366,                0.26139,                0.24484,                0.20766,                0.07538,                 2.4989,                 2.5037,                 1.7509,               0.002872,               0.002872,               0.002872
                     75,                 2.3627,                 2.4149,                 1.7354,                0.24503,                 0.2488,                0.20844,                0.07624,                 2.4954,                 2.4987,                 1.7484,               0.002773,               0.002773,               0.002773
                     76,                 2.3577,                 2.3942,                  1.727,                0.23907,                0.25129,                0.20852,                 0.0766,                 2.4935,                 2.4934,                 1.7468,               0.002674,               0.002674,               0.002674
                     77,                 2.3613,                  2.397,                 1.7293,                0.24467,                0.24931,                0.20951,                0.07703,                 2.4921,                 2.4892,                 1.7452,               0.002575,               0.002575,               0.002575
                     78,                 2.3463,                 2.3855,                 1.7245,                0.24602,                0.25091,                0.21058,                0.07727,                 2.4884,                 2.4834,                 1.7436,               0.002476,               0.002476,               0.002476
                     79,                 2.3567,                 2.3784,                  1.715,                0.24963,                0.25144,                  0.211,                0.07724,                 2.4857,                 2.4819,                 1.7417,               0.002377,               0.002377,               0.002377
